iter	Passed	Remaining
0	7	7755
1	14	7183
2	21	7141
3	28	7041
4	35	7034
5	43	7125
6	50	7096
7	56	7047
8	63	6969
9	70	6947
10	78	7032
11	84	6981
12	91	6974
13	98	6956
14	106	6967
15	113	6959
16	120	6954
17	127	6953
18	134	6965
19	142	6963
20	150	7005
21	157	6998
22	163	6962
23	171	6954
24	178	6949
25	186	6991
26	198	7166
27	207	7212
28	214	7169
29	220	7141
30	228	7129
31	235	7109
32	242	7098
33	249	7092
34	256	7073
35	263	7042
36	270	7034
37	277	7013
38	284	7019
39	291	7005
40	298	6993
41	305	6964
42	312	6960
43	319	6936
44	326	6934
45	334	6927
46	340	6913
47	347	6891
48	354	6876
49	361	6862
50	368	6849
51	375	6843
52	382	6837
53	389	6824
54	396	6810
55	403	6794
56	410	6783
57	416	6768
58	423	6755
59	430	6747
60	437	6731
61	444	6719
62	450	6704
63	457	6685
64	464	6677
65	471	6672
66	478	6665
67	486	6670
68	493	6662
69	500	6651
70	507	6635
71	514	6627
72	521	6620
73	528	6616
74	536	6615
75	543	6606
76	550	6597
77	557	6594
78	564	6586
79	572	6582
80	580	6581
81	587	6579
82	594	6568
83	601	6556
84	608	6549
85	615	6538
86	622	6527
87	628	6517
88	635	6500
89	641	6489
90	649	6486
91	656	6478
92	663	6466
93	670	6459
94	677	6454
95	684	6445
96	692	6442
97	698	6431
98	705	6419
99	719	6472
100	726	6462
101	732	6450
102	739	6441
103	746	6432
104	753	6421
105	760	6409
106	767	6404
107	774	6397
108	782	6395
109	789	6384
110	796	6381
111	804	6376
112	811	6371
113	819	6365
114	826	6356
115	833	6349
116	840	6339
117	847	6335
118	854	6323
119	860	6313
120	868	6306
121	874	6297
122	881	6285
123	890	6288
124	897	6285
125	904	6272
126	910	6259
127	917	6249
128	924	6241
129	931	6230
130	938	6222
131	945	6216
132	951	6203
133	958	6193
134	965	6188
135	977	6211
136	985	6206
137	992	6200
138	1000	6199
139	1007	6190
140	1014	6182
141	1022	6176
142	1029	6169
143	1036	6158
144	1042	6146
145	1049	6136
146	1056	6129
147	1063	6122
148	1070	6115
149	1077	6108
150	1084	6099
151	1091	6090
152	1099	6086
153	1106	6076
154	1112	6066
155	1119	6059
156	1126	6047
157	1133	6038
158	1139	6029
159	1146	6019
160	1153	6010
161	1160	6003
162	1168	5998
163	1176	5998
164	1184	5995
165	1192	5992
166	1204	6009
167	1212	6006
168	1219	5998
169	1226	5989
170	1233	5981
171	1241	5974
172	1248	5966
173	1254	5957
174	1261	5948
175	1268	5940
176	1275	5932
177	1282	5923
178	1289	5912
179	1296	5905
180	1304	5900
181	1311	5892
182	1318	5884
183	1325	5876
184	1331	5864
185	1338	5859
186	1345	5850
187	1352	5840
188	1359	5832
189	1366	5825
190	1373	5815
191	1380	5808
192	1387	5800
193	1394	5793
194	1400	5783
195	1408	5779
196	1415	5770
197	1421	5759
198	1428	5751
199	1435	5742
200	1442	5733
201	1448	5724
202	1455	5715
203	1462	5707
204	1469	5699
205	1476	5691
206	1483	5682
207	1490	5676
208	1497	5667
209	1504	5660
210	1512	5656
211	1519	5649
212	1526	5640
213	1533	5632
214	1540	5625
215	1547	5617
216	1555	5612
217	1563	5607
218	1570	5600
219	1577	5591
220	1584	5583
221	1590	5575
222	1597	5565
223	1604	5558
224	1611	5551
225	1618	5544
226	1625	5536
227	1633	5530
228	1639	5520
229	1645	5509
230	1652	5501
231	1659	5493
232	1666	5485
233	1673	5478
234	1680	5469
235	1686	5460
236	1693	5452
237	1700	5444
238	1707	5436
239	1714	5430
240	1722	5423
241	1729	5415
242	1737	5414
243	1745	5407
244	1752	5401
245	1760	5394
246	1767	5387
247	1773	5378
248	1780	5370
249	1787	5362
250	1794	5355
251	1801	5347
252	1808	5339
253	1816	5333
254	1822	5324
255	1829	5317
256	1836	5310
257	1843	5301
258	1850	5294
259	1857	5286
260	1863	5277
261	1871	5272
262	1879	5266
263	1886	5260
264	1893	5251
265	1900	5244
266	1907	5236
267	1913	5227
268	1921	5222
269	1929	5215
270	1935	5207
271	1942	5199
272	1949	5192
273	1956	5185
274	1964	5179
275	1974	5179
276	1981	5172
277	1989	5166
278	1996	5160
279	2004	5154
280	2012	5148
281	2019	5142
282	2026	5134
283	2033	5127
284	2050	5144
285	2057	5137
286	2065	5131
287	2072	5124
288	2079	5117
289	2086	5108
290	2094	5102
